Exercise,Utility,Mechanics,Force,Instructions,Muscle
cable single leg split squat,auxiliary,compound,push,"Facing away from bench, stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides. Extend leg back and place top of foot on bench.
squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. return to original standing position by extending hip and knee of forward leg. repeat. continue with opposite leg.",gluteus maximus
cable split squat (belt),auxiliary,compound,push,"Facing low pulley, kneel to attach cable belt or dip belt around waist. Place hand(s) on ballet bar or machine (not on guide rod!) for balance. Stand away from pulley with one leg forward and opposite leg to rear.
squat down by flexing knee and hip of front leg. allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. return to original straddle position by extending hip and knee of forward leg. repeat. continue with legs in opposite position.",gluteus maximus
cable squat,basic or auxiliary,compound,push,"Stand with feet shoulder width or slightly wider on platform between very low and close pulley cables. Squat down with knees slightly beyond foot and shoulder above feet. Grasp stirrups to each side with arms straight.
keeping chest high and back straight, raise stirrups by extending knees and hips until legs are straight. squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. squat down until thighs are just past parallel to floor. return and repeat.",gluteus maximus
cable standing hip extension,auxiliary,isolated,push,"Attach ankle cuff to low pulley. With cuff on one ankle, grasp ballet bar with both hands and step back with other foot. Elbows remain straight. Attached leg is straight and foot is slightly off floor.
pull cable attachment back by extending hip. return leg to original position. repeat. continue with opposite leg.",gluteus maximus
cable step-up,basic or auxiliary,compound,push,"Stand behind elevated platform and low and close pulley cables to sides. Grasp stirrups at each side of platform. Stand upright with arms straight down at sides.
place foot of first leg on elevated platform. stand on elevated platform by extending hip and knee of first leg and place foot of second leg on bench. step down with second leg by flexing hip and knee of first leg. return to original standing position by placing foot of first leg to lower position. repeat first step with opposite leg alternating first steps between legs.",gluteus maximus
cable stiff leg deadlift,basic or auxiliary,compound,pull,"Stand on elevated platform between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.
bow forward by bending hips. bend knees slightly during descent and keep waist straight, flexing low back at bottom. with knees slightly bent, raise torso by extending at waist, then hips, gradually extending knees until standing upright. pull shoulders back slightly if rounded. repeat.",gluteus maximus
dumbbell lunge,auxiliary,compound,push," Stand with dumbbells grasped to sides.
lunge forward with first leg. land on heel then forefoot. lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. return to original standing position by forcibly extending hip and knee of forward leg. repeat by alternating lunge with opposite leg.",gluteus maximus
dumbell single leg stiff-leg deadlift,auxiliary,isolated,pull,"Hold dumbbell in each hand. Position dumbbells down in front of upper thighs with arms straight. Stand with feet together. Lift leg slightly so foot is just off floor.
lower dumbells to floor while raising lifted leg back behind. keep back straight and knee of supporting leg slightly bend. keep hip and knee of lifted leg extended throughout movement. once stretch is felt or dumbells contacts floor, return to original position by raising torso while lowering lifted leg. straighten knee of supporting leg as torso becomes upright. repeat.",gluteus maximus (supporting leg)
dumbbell squat,basic or auxiliary,compound,push,"Stand with dumbbells grasped to sides.
squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet.


descend until thighs are just past parallel to floor. extend knees and hips until legs are straight. return and repeat.",gluteus maximus
dumbbell single leg split squat,auxiliary,compound,push,"Stand with dumbbells grasped to sides facing away from bench. Extend leg back and place top of foot on bench.
squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. return to original standing position by extending hip and knee of forward leg. repeat. continue with opposite leg.",gluteus maximus
dumbbell step-up,basic or auxiliary,compound,push,"Stand with dumbbells grasped to sides facing side of bench.
place foot of first leg on bench. stand on bench by extending hip and knee of first leg and place foot of second leg on bench. step down with second leg by flexing hip and knee of first leg. return to original standing position by placing foot of first leg to floor. repeat first step with opposite leg, alternating first steps between legs.",gluteus maximus
lever bent-over rear kick (plate loaded),auxiliary,compound,push,"Lean over wide padded area, place forearms on padded arm rest, and grip handles. Bend knee and position foot against lever platform.
push platform back by extending leg back. return leg to original position. repeat. continue with opposite leg.",gluteus maximus
lever deadlift (plate loaded),basic,compound,pull,"Stand between lever handles to sides. Squat down with feet flat and grasp handles to sides.
lift lever by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return weight by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. repeat.",gluteus maximus
